text,created_date,rubrics
"⚠ Новый раздел - Разборка Mercedes - автозапчасти б/у ⚠ 
 
👉🏻 https://vk.com/topic-111749251_39546171",2019-06-14 01:41:36,"['VK-1603736028819866', 'VK-49725783613', 'VK-92549753485']"
"Всем привет , народ у кого есть мерседес вито 638 с 601 двигателем без турбины помогите разобраться с вакумными трубками все перепутал а схем в интернете адекватных не найти , спасибо",2019-12-29 20:14:28,"['VK-1603736028819866', 'VK-90590676942', 'VK-48484198673']"
всем привет кто-то переделывал старый спринтер 1996 года  на 906й ? двери салон и буду хочу оставить . приколхозить только морду.  жду ответа,2019-12-27 15:06:19,"['VK-1603736028819866', 'VK-88098320357', 'VK-13827004574']"
"Всем привет!🙋‍♂️
Помогите советом🙏🙏🙏
Проблема в следующем при включённом зажигании печка работает на 3,4 положении 
на заведенную не работает вообще, снимаю фишку перемыкаю контакты всё работает во всех положениях 
Что может быть 🤷‍♂️
(2001 год с кондеем)",2019-12-25 16:48:25,"['VK-1603736028819866', 'VK-64213990563', 'VK-89103813486']"
"Добрый день.подскажите Мерседес спринтер классик 2,1 2015г дымит синим дымом  на холостых оборотах.пробег 250т,турба новая , форсунки по диагностике параметры норм.жора масла особо нет,на 10тысяч около полтора литра.при движении дым пропадает.",2019-12-15 16:11:15,"['VK-1603736028819866', 'VK-20347406248', 'VK-66085770158']"
"Заказать ремонт вариатора, а также обслуживание АКПП, посмотреть стоимость можно на сайте Ремонт коробки тут http://remontkorobki.ru/vosstanovlenie/?utm_source=social&utm_medium=vk&utm_campaign=3516562",2019-11-07 18:12:35,"['VK-1603736028819866', 'VK-48212681383', 'VK-41121268778']"
"🚘Автомобиль: Mercedes-Benz Srinter 511CDI 
🌃 Город осмотра: Выборг
📅Год: 2008
🏃Пробег: 250 тыс. км
💵Цена: 1099 тыс. рублей
💰 Качественный актив для вложений, а так же подходящая машина для большой семьи
🌃 Город осмотра: Выборг
📅Год: 2008
🏃Пробег: 250 тыс. км
📝 Подробное описание: автобус в отличном состоянии. Родной пробег 250 тыс.км с копейками, готов на любые проверки. За авто следили и воремя обслуживали, хорошее состоянии как внешне так и технически. На данный момент никаких вложений не требуется. ПТС оригинал, авто стоит на учете в ГИБДД, 5 лет в собственности.
В машине установлены: DVD, караоке, светомузыка, микрофон, глонас навигация, тахограф, спарка 5 тонн. 
Ездил по Европе, в основном Финляндия.
Комплект шин зима лето. 
С продажей не спешу, но с реальным покупателем готов к торгу.
Возможен обмен на некоммерческий транспорт.
🚐 Фотографии машины:",2019-09-11 02:03:00,"['VK-1603736028819866', 'VK-51024957603', 'VK-86569285459']"
"Продам Mercedes-Benz Srinter 511CDI 
2008 год, 250 тыс. пробег. 
В машине установлены: DVD, караоке, светомузыка, микрофон, глонас навигация, тахограф, спарка 5 тонн. 
Отличное рабочее состояние, на маршруте не был. 
Сейчас находится в городе Выборг. 
Цена 1138 тыс. рублей. 
Телефон для связи: +79215520980
P.S. С чьего уйдёт, от себя скину 50 тыс. рублей.",2019-08-09 17:25:47,"['VK-1603736028819866', 'VK-51251418114', 'VK-73262536964']"
"Здравствуйте .Спринтер м611 м 646 . . 2.2 дизель . 2007. Мерседес 
.нужен коленвал .",2019-07-20 17:07:39,"['VK-1603736028819866', 'VK-94976810934', 'VK-68290506141']"
"Ребята поменял натяжитель цепи, прокручиваю грм на 180 градусов цепь натянута, ещё 180 градусов она слабая, в чем причина может кто подскажет. Вито 1998год, 2.3 дизель  601 мотор атмосферник",2019-07-18 16:27:52,"['VK-1603736028819866', 'VK-70603563684', 'VK-13622218232']"
"Жидков Максим Викторович - андролог, который предлагает записаться на консультацию. Смотрите статьи на сайте ""Записки андролога"": http://androlog.ru.com/?utm_source=social&utm_medium=vk&utm_campaign=3374510",2019-06-11 20:15:22,"['VK-1603736028819866', 'VK-24778503228', 'VK-31893237175']"
"Всем привет...нуждаюсь в Вашей помощи..Машина вито 1998год 2.3 мотор.сломалось акпп,купили контракт поставили Машина иногда начинала ехать иногда вовсе не хотела ехать..так уже 2 акпп меняли..сейчас тоже не едет ставишь заднюю передачу нечего не происходит..даже лампочки заднего хода не горят...что делать ?? Как быть ?? Может адаптацию нада делать  или что ? Помогите пожалуйста...админ пропусти пожалуйста...уже не знаю что делать",2019-06-05 16:22:05,"['VK-1603736028819866', 'VK-78827278265', 'VK-12124000733']"
"Заметил что зимой таких проблем не бывает,летом начинается.... при нагрузке на ходу глохнет выкл вкл зажигание заводиться но дольше обычного грешил на разьёмы у форсунок потом стянул их пластиковыми хомутами ни чего не изменилось... когда глохнет долго крутишь и заводиться уходит топливо,поменял все трубки топливоподкачивающий насос клапан обратки менял тнвд с рабочей машины ни каких результатов сегодня воздухом опрессовку делал ни где соляра небежит в чем ещё может быть проблема. Подскажите пожалуйста 611 двигатель",2019-06-03 16:47:49,"['VK-1603736028819866', 'VK-65536694584', 'VK-19708499941']"
"Ребят подскажите пожалуйста, машина переодически глохнет, и плохо заводится, завёлся поехал, через некоторое время снова глохнет, заметил что такое происходит когда очень жарко, в том году летом такое же было, зима была, не разу не глох, сейчас снова такая же история!",2019-06-01 18:06:49,"['VK-1603736028819866', 'VK-26138502898', 'VK-78060629875']"
"Mercedes-Benz 300 SL w198 
 
Мотор: 240л.с. 3л. 
Масса: 1310кг. 
Разгон 0-100 км.ч.: 7,2с. 
Макс. скор.: 260км.ч. 
Цена: 600 000 $",2019-05-28 05:12:13,"['VK-1603736028819866', 'VK-78466438197', 'VK-62373051044']"
"Мужики подскажите по Мерседесу Вито,хочу взять себе годов 1997-2004,бюджет 350-400 тыс,нужен 7+1,реально за такие деньги найти?Какой двигатель и коробка самые надёжные,какие слабые места у автомобиля на что следует обратить внимание при покупке,дорогие ли запчасти и.т.д.?",2019-05-10 19:08:38,"['VK-1603736028819866', 'VK-41657522165', 'VK-19836959136']"
"515 sdi 2.2  150л.с
Подскажите, надежный мотор? На что стоит оброщать внимание про покупке",2019-05-04 17:07:43,"['VK-1603736028819866', 'VK-41857800715', 'VK-60479042659']"
"● [club53090858|Mercedes-Benz] 
● [club32210234|Ferrari] 
● [club92964646|Rolls-Royce]",2019-04-24 07:12:08,"['VK-1603736028819866', 'VK-93153526080', 'VK-80619080725']"
Победа не дает силу – силу дает борьба. Если ты борешься и не сдаешься – это и есть сила.,2019-04-18 19:12:09,"['VK-1603736028819866', 'VK-45676192956', 'VK-31986133318']"
"Защита переднего бампера - кенгурятник, труба двойная, труба одинарная, труба с изгибом.
Защита порогов - трубы с проступьями для ног, площадки.
Защита заднего бампера - уголки, труба прямая.
Рейлинги на крышу.
Шторки салонные. 
По вопросам в л.с",2019-04-16 18:36:02,"['VK-1603736028819866', 'VK-95995018483', 'VK-89635598958']"
"Продаю вито 2010 в отличном состоянии, полностью обслужен , не требует вложений. Любые проверки. Фото скину в личку",2019-04-16 18:35:59,"['VK-1603736028819866', 'VK-63434121724', 'VK-98096322060']"
"Подходящее время может вообще никогда не наступить. Если вы действительно хотите сделать что-то, забудьте о времени и просто cделайте это.",2019-04-16 07:12:07,"['VK-1603736028819866', 'VK-62231748465', 'VK-58623526209']"
"Всем привет. Ребятки подскажите пожалуйста. Хочу купить себе Вито, как цены на запчасти, сильно кусаются?",2019-04-14 18:55:09,"['VK-1603736028819866', 'VK-91531678069', 'VK-69482034969']"
"Приветствую, Вито 638, 611, 2,2, ТНВД, во всех ли ТНВД есть этот клапан? В одном есть и нажимается, в другом нет ни пружинки,  и не нажимается но он стоял на машине и работал, только потек, может так и должно быть?",2019-04-07 19:00:42,"['VK-1603736028819866', 'VK-95885100478', 'VK-72206243578']"
"Нет недостижимых целей, есть высокий коэффициент лени, недостаток смекалки и запас отговорок.",2019-04-03 19:14:28,"['VK-1603736028819866', 'VK-60419770568', 'VK-11670201385']"
"Следующий раз, когда услышите, что о вас сплетничают, можете собой гордится, вы достигли в жизни больше, чем они.",2019-04-02 07:12:06,"['VK-1603736028819866', 'VK-63716297716', 'VK-96263587612']"
"Mercedes-Benz G63 AMG 6x6 Mansory 
 
Мотор: 840 л.с. 5.5 V8 
Снаряженная масса: 3675кг. 
Разгон 0-100 км.ч.: 7с. 
Максимальная скорость: 190км.ч.",2019-03-31 07:15:06,"['VK-1603736028819866', 'VK-88847229101', 'VK-56126693275']"
"Сделай так, чтобы получить то, что ты хочешь, иначе тебе придётся любить то, что ты имеешь.",2019-03-28 07:12:08,"['VK-1603736028819866', 'VK-11668415250', 'VK-32328763741']"
"Чтобы изменить свою жизнь, ехать куда-то необязательно, но важно сдвинуться с места.",2019-03-27 07:12:07,"['VK-1603736028819866', 'VK-94673807194', 'VK-43736583970']"
"Здарова народ,  хочу преобрести вито 2.8 бензин,  2000 года,  посоветуйте подалуста,  что лучше  2.3 или 2.8 и какие +/- в этих машинах,  сам на данный момен езжу на мазда мпв 2001 года",2019-03-26 20:08:11,"['VK-1603736028819866', 'VK-41693206282', 'VK-86817946628']"
"Владимир Высоцкий очень любил автомобили и быструю езду. Поэтому очень часто он попадал в аварии с печальными для машин последствиями. Водить знаменитый артист начал, когда ему практически исполнилось 30 лет. Но сразу же полюбил это занятие.

#музыка@motor",2019-03-24 19:12:08,"['VK-1603736028819866', 'VK-30808204718', 'VK-55068195891']"
"Половина того, что отделяет успешных предпринимателей от неудачников – это настойчивость.",2019-03-24 07:12:08,"['VK-1603736028819866', 'VK-17894242509', 'VK-16610779282']"
"Порой жизнь недвусмысленно даёт вам понять, что управлять ею — у вас кишка тонка.",2019-03-23 07:18:39,"['VK-1603736028819866', 'VK-45786578236', 'VK-73097901474']"
"Всем привет! Помогите пожалуйста. Мерседес Вито 638 2.2cdi
Педаль сцепления при выжиме остаётся внизу только когда включаешь передачу, а на нейтралке нажимается и спокойно возвращается назад. Куда копать?",2019-03-22 19:06:27,"['VK-1603736028819866', 'VK-70418182801', 'VK-57620613429']"
"❗Мужские шапки - показатель стиля, оригинальности. В наличии 5000+ моделей высокого качества недорого и под любой стиль. Наши цены 30-40% ниже, чем в обычных магазинах ✔ проверенный продавец! 

➡ Высокое качество изделий. 
➡ Доступные цены: от 600 руб.
➡ Идеальны для автолюбителей и деловых мужчин. 
➡ Популярные бренды: Adidas, Calvin Klein, Hugo Boss, Nike, Roberto Cavalli, Tom Tailor, Wrangler.

👉 Крупнейшая коллекция здесь - https://vk.cc/7GwGA5",2019-03-22 03:00:01,"['VK-1603736028819866', 'VK-87802206978', 'VK-62424055692']"
"Добрый вечер. Помогите пожалуйста,не знаю уже что делать. Менял термостат и радиатор на Мерседес Вито 2,3 дизель 1997 года, и снял провода с генератора. После всей сборки и постановки всех комплектующих на место, замети,что на приборке при неповернутом ключе зажигания работает указатель уровня топлива, а когда поворачиваешь ключ- то горит только АБС и накал.Что делать? Заранее спасибо!",2019-03-18 19:48:38,"['VK-1603736028819866', 'VK-72665498809', 'VK-41764005486']"
"Если у человека изменилось мировоззрение, то непроизвольно меняется и поведение, и характер. А если изменился характер, то меняется и судьба. Мысль рождает поступок, поступок – привычку, привычка – характер, характер – судьбу.",2019-03-13 19:18:17,"['VK-1603736028819866', 'VK-85315807290', 'VK-69388920150']"
"Главные вещи - это совсем не бабки, не твое положение, не те дающие самки, не дачи, не хаты, не наркотиков горы, а те люди, ради кого ты свернешь горы.",2019-03-12 07:12:08,"['VK-1603736028819866', 'VK-59398833276', 'VK-65202762311']"
"Mercedes-Benz 300 SL w198 
 
Мотор: 240л.с. 3л. 
Масса: 1310кг. 
Разгон 0-100 км.ч.: 7,2с. 
Макс. скор.: 260км.ч. 
Цена: 600 000 $",2019-03-01 07:12:11,"['VK-1603736028819866', 'VK-38428910237', 'VK-84755955422']"
"● [club53090858|Mercedes-Benz] 
● [club32210234|Ferrari] 
● [club92964646|Rolls-Royce]",2019-02-13 07:12:07,"['VK-1603736028819866', 'VK-23676418879', 'VK-58227291694']"
"Нет недостижимых целей, есть высокий коэффициент лени, недостаток смекалки и запас отговорок.",2019-02-12 07:12:05,"['VK-1603736028819866', 'VK-51466612838', 'VK-68321770642']"
"Подходящее время может вообще никогда не наступить. Если вы действительно хотите сделать что-то, забудьте о времени и просто cделайте это.",2019-02-11 07:12:08,"['VK-1603736028819866', 'VK-96946433519', 'VK-88478585361']"
"Чтобы изменить свою жизнь, ехать куда-то необязательно, но важно сдвинуться с места.",2019-02-09 07:12:17,"['VK-1603736028819866', 'VK-63945554870', 'VK-19589318823']"
"Половина того, что отделяет успешных предпринимателей от неудачников – это настойчивость.",2019-02-01 19:12:07,"['VK-1603736028819866', 'VK-39437915831', 'VK-15483754639']"
"Такой вопрос. Спринтер 2006 г. 2,2 мотор, 311. Поменял масло, залил синтетику 5 w 40. Проехал 5 км и начала мигать лампочка жёлтая на масло. Остановился проверил уровень, всё в норме, завёл перестала мигать проехал ещё пару км и снова замигала, через минут 5 сама перестала. Может кто сталкивался?",2019-01-31 20:53:09,"['VK-1603736028819866', 'VK-55589353327', 'VK-45954053487']"
Мерседес спрингер класик 311 автобус один с пятиступкой другой с шестиступкой какой лучше?,2019-01-29 20:29:56,"['VK-1603736028819866', 'VK-34740650846', 'VK-95893932115']"
"Доброго времени суток !
Нужна помощь !
У меня Вито 639 кузов 111 модификации.
Проблема такова , на приборе постоянно  показывать наружная температура +34 , и бывает прыгает туда-сюда.
Снял бампер и датчика на своем месте не нашел , я так понимаю он где-то оборван ... Может кто-то знает распиновку проводов , которые подходят к  датчику или цвет и где их вообще искать",2019-01-23 20:52:37,"['VK-1603736028819866', 'VK-42294619173', 'VK-49672037643']"
"Mercedes-Benz Concept IAA 
 
Мотор: 279л.с. 2л. 
Масса: 1800кг. 
Разгон 0-100 км.ч.: 5,5с. 
Максимальная скорость: 250км.ч.",2019-01-19 07:12:09,"['VK-1603736028819866', 'VK-18430707560', 'VK-96155962748']"
Победа не дает силу – силу дает борьба. Если ты борешься и не сдаешься – это и есть сила.,2019-01-13 19:12:13,"['VK-1603736028819866', 'VK-47060416331', 'VK-29279989247']"
"Мужики всем привет, подскажите пожалуйста где посмотреть коды ошибок на мерседес виано год 2008, мотор 2.2 150 кобыл",2019-01-09 20:55:44,"['VK-1603736028819866', 'VK-88413115730', 'VK-69103370657']"
"Мужики скажите, с ключа не открывается центральный замок. Батарейка норм, предохранитель в порядке. Замки все работают. Что может быть? 638",2019-01-03 19:46:28,"['VK-1603736028819866', 'VK-55787334987', 'VK-35076531029']"
"Вот и настал 2020, не буду многословен и просто хочу сказать что 2019 был довольно продуктивный, ибо в жизни случилось много нового и хорошего. Пусть каждый кто читает это, избавится от лени и встречает новый день, новыми мыслями, а так же мечтами. Я верю, что этот день особенный, потому что заряжаю свои мысли сам, ставя для себя новые цели. Стремитесь, добивайтесь, и любите. ❤️🙏",2019-12-31 18:00:08,"['VK-1603736028819866', 'VK-53518190544', 'VK-96357693758']"
"анон ♡
ищу девушку/парня~
p.s. я тоже тян (◍•ᴗ•◍)✧*。

♡о себе♡

~#UoYH16
~ пансексуал 
~ рост 165
~ я очень открытый человек 
~ люблю разговаривать , так что пожалуйста будьте тоже общительными :з
~ не люблю когда оскарбляют людей :с
~ раньше увлекалась аниме 
~ когда то веду себя как ребенок ✧◝(⁰▿⁰)◜✧
~ будет хорошо если вы как и я будете искренними и уважать мнение/личные качества каждого человека (｡･ω･｡)ﾉ♡

♡о тебе♡

~#UoYW15_17
~ насчёт роста 
175 (если ты парень)
170 (если ты девушка)
~ азиатская внешность (девушкам не обязательно)
~ люблю ухоженную внешность
~ обожаю милых парней которые смущаются пхпаапргр
~ буду рада если ты не будешь против при встречах скиншипа и совместных милых фоток ㅋㅋㅋㅋ
~ будьте искренними, жизнерадостными и цените каждые моменты !

можете оставить в комментариях ""+"" и я вам напишу~

p.s.2. админ меня наверное уже запомнил после стольких попыток пхпапх , спасибо за ваше терпениеㅋㅋ(っ.❛ ᴗ ❛.)っ*.✧
____
Admin: Даа, помню :3",2019-12-31 13:25:00,"['VK-1603736028819866', 'VK-73993601368', 'VK-38625555140']"
"прошу опубликовать анонимно, иначе, мое хиккаподобное существо, войдет в отчаянное положение 
согласитесь, как то глупо искать людей в интернете, да, не сомневаюсь что много кто находят/дружат, мб более что то масштабное, но все же, если ваше представление о человеке окажется не самым удачным, само собой, это -мораль, что частенько и происходит.
описывать, себя в общих чертах, конечно же глупо, но попытаюсь, конечно же без цинизма, ну и попытаюсь добавить кусочек самокритики, как же без этого:₽
уже как год>прошло с того момента, как стал совершеннолетним , ростом под ~175, существуя эти 17 лет, осознанно пытаюсь побороть свой главный минус, добротное отношение ко всем(в реальной же жизни, а в вк ну, токсичничаю частенько, мб из за того, как подобает плохим мальчикам), ненавижу всяких челов что любят покорять какую то вершину популярности, собирая друзей/ подписчиков/гуляя в компашках, хождением в хаты, заведения, которые, не подобают воспитанным девочкам(нет, я не говорю что вы, не должны никуда выходить, хаты/выпивка лоу)
уверен, многие мб будут комментировать сей запись, видя меня как чела, ищущего идеальную девочку, в чем то вы правы. 
глупо, искать сразу же свою пару, думаю стоит начинать с дружбы. 
данный текст пишу без рофлов, в какои то смысле, даже аморал, по отношению к тем же «злым» чувакам.",2019-12-31 12:25:00,"['VK-1603736028819866', 'VK-12369141112', 'VK-50792326747']"
"Анонимно 
Дарова работяги 
Ищу девушку мб просто подругу 
#UoY15-16
Красивую 
Высокую 
Мб даже пошлую
Казашку  
О себе рассказать могу только в лс
)) 
Ставьте «+» я сам потом выберу",2019-12-31 11:25:00,"['VK-1603736028819866', 'VK-50862027655', 'VK-40135857566']"
